"user_id","historical_effective_from"
3,1900-01-01 00:00:00.000
5,1900-01-01 00:00:00.000
6,1900-01-01 00:00:00.000
13,1900-01-01 00:00:00.000
15,1900-01-01 00:00:00.000
18,1900-01-01 00:00:00.000
19,1900-01-01 00:00:00.000
27,1900-01-01 00:00:00.000
29,1900-01-01 00:00:00.000
31,1900-01-01 00:00:00.000
36,1900-01-01 00:00:00.000
40,1900-01-01 00:00:00.000
42,1900-01-01 00:00:00.000
43,1900-01-01 00:00:00.000
47,1900-01-01 00:00:00.000
48,1900-01-01 00:00:00.000
50,1900-01-01 00:00:00.000
51,1900-01-01 00:00:00.000
53,1900-01-01 00:00:00.000
54,1900-01-01 00:00:00.000
56,1900-01-01 00:00:00.000
57,1900-01-01 00:00:00.000
63,1900-01-01 00:00:00.000
64,1900-01-01 00:00:00.000
67,1900-01-01 00:00:00.000
69,1900-01-01 00:00:00.000
71,1900-01-01 00:00:00.000
75,1900-01-01 00:00:00.000
76,1900-01-01 00:00:00.000
80,1900-01-01 00:00:00.000
88,1900-01-01 00:00:00.000
89,1900-01-01 00:00:00.000
90,1900-01-01 00:00:00.000
103,1900-01-01 00:00:00.000
104,1900-01-01 00:00:00.000
106,1900-01-01 00:00:00.000
112,1900-01-01 00:00:00.000
114,1900-01-01 00:00:00.000
116,1900-01-01 00:00:00.000
122,1900-01-01 00:00:00.000
124,1900-01-01 00:00:00.000
132,1900-01-01 00:00:00.000
133,1900-01-01 00:00:00.000
135,1900-01-01 00:00:00.000
136,1900-01-01 00:00:00.000
140,1900-01-01 00:00:00.000
141,1900-01-01 00:00:00.000
143,1900-01-01 00:00:00.000
144,1900-01-01 00:00:00.000
146,1900-01-01 00:00:00.000
151,1900-01-01 00:00:00.000
152,1900-01-01 00:00:00.000
153,1900-01-01 00:00:00.000
156,1900-01-01 00:00:00.000
157,1900-01-01 00:00:00.000
160,1900-01-01 00:00:00.000
162,1900-01-01 00:00:00.000
163,1900-01-01 00:00:00.000
171,1900-01-01 00:00:00.000
172,1900-01-01 00:00:00.000
175,1900-01-01 00:00:00.000
177,1900-01-01 00:00:00.000
186,1900-01-01 00:00:00.000
188,1900-01-01 00:00:00.000
191,1900-01-01 00:00:00.000
195,1900-01-01 00:00:00.000
197,1900-01-01 00:00:00.000
201,1900-01-01 00:00:00.000
204,1900-01-01 00:00:00.000
210,1900-01-01 00:00:00.000
211,1900-01-01 00:00:00.000
221,1900-01-01 00:00:00.000
222,1900-01-01 00:00:00.000
223,1900-01-01 00:00:00.000
224,1900-01-01 00:00:00.000
228,1900-01-01 00:00:00.000
231,1900-01-01 00:00:00.000
232,1900-01-01 00:00:00.000
233,1900-01-01 00:00:00.000
234,1900-01-01 00:00:00.000
236,1900-01-01 00:00:00.000
238,1900-01-01 00:00:00.000
248,1900-01-01 00:00:00.000
249,1900-01-01 00:00:00.000
254,1900-01-01 00:00:00.000
255,1900-01-01 00:00:00.000
257,1900-01-01 00:00:00.000
258,1900-01-01 00:00:00.000
261,1900-01-01 00:00:00.000
262,1900-01-01 00:00:00.000
263,1900-01-01 00:00:00.000
278,1900-01-01 00:00:00.000
281,1900-01-01 00:00:00.000
286,1900-01-01 00:00:00.000
290,1900-01-01 00:00:00.000
291,1900-01-01 00:00:00.000
295,1900-01-01 00:00:00.000
296,1900-01-01 00:00:00.000
298,1900-01-01 00:00:00.000
301,1900-01-01 00:00:00.000
303,1900-01-01 00:00:00.000
304,1900-01-01 00:00:00.000
307,1900-01-01 00:00:00.000
309,1900-01-01 00:00:00.000
310,1900-01-01 00:00:00.000
313,1900-01-01 00:00:00.000
315,1900-01-01 00:00:00.000
316,1900-01-01 00:00:00.000
318,1900-01-01 00:00:00.000
319,1900-01-01 00:00:00.000
320,1900-01-01 00:00:00.000
321,1900-01-01 00:00:00.000
323,1900-01-01 00:00:00.000
326,1900-01-01 00:00:00.000
328,1900-01-01 00:00:00.000
332,1900-01-01 00:00:00.000
336,1900-01-01 00:00:00.000
339,1900-01-01 00:00:00.000
340,1900-01-01 00:00:00.000
347,1900-01-01 00:00:00.000
350,1900-01-01 00:00:00.000
357,1900-01-01 00:00:00.000
360,1900-01-01 00:00:00.000
365,1900-01-01 00:00:00.000
367,1900-01-01 00:00:00.000
371,1900-01-01 00:00:00.000
387,1900-01-01 00:00:00.000
391,1900-01-01 00:00:00.000
397,1900-01-01 00:00:00.000
398,1900-01-01 00:00:00.000
399,1900-01-01 00:00:00.000
409,1900-01-01 00:00:00.000
410,1900-01-01 00:00:00.000
413,1900-01-01 00:00:00.000
419,1900-01-01 00:00:00.000
423,1900-01-01 00:00:00.000
430,1900-01-01 00:00:00.000
431,1900-01-01 00:00:00.000
432,1900-01-01 00:00:00.000
434,1900-01-01 00:00:00.000
435,1900-01-01 00:00:00.000
436,1900-01-01 00:00:00.000
438,1900-01-01 00:00:00.000
440,1900-01-01 00:00:00.000
444,1900-01-01 00:00:00.000
452,1900-01-01 00:00:00.000
454,1900-01-01 00:00:00.000
455,1900-01-01 00:00:00.000
459,1900-01-01 00:00:00.000
462,1900-01-01 00:00:00.000
464,1900-01-01 00:00:00.000
467,1900-01-01 00:00:00.000
470,1900-01-01 00:00:00.000
471,1900-01-01 00:00:00.000
473,1900-01-01 00:00:00.000
477,1900-01-01 00:00:00.000
480,1900-01-01 00:00:00.000
483,1900-01-01 00:00:00.000
485,1900-01-01 00:00:00.000
492,1900-01-01 00:00:00.000
496,1900-01-01 00:00:00.000
497,1900-01-01 00:00:00.000
499,1900-01-01 00:00:00.000
500,1900-01-01 00:00:00.000
507,1900-01-01 00:00:00.000
510,1900-01-01 00:00:00.000
514,1900-01-01 00:00:00.000
516,1900-01-01 00:00:00.000
517,1900-01-01 00:00:00.000
520,1900-01-01 00:00:00.000
525,1900-01-01 00:00:00.000
526,1900-01-01 00:00:00.000
529,1900-01-01 00:00:00.000
530,1900-01-01 00:00:00.000
547,1900-01-01 00:00:00.000
552,1900-01-01 00:00:00.000
556,1900-01-01 00:00:00.000
558,1900-01-01 00:00:00.000
560,1900-01-01 00:00:00.000
562,1900-01-01 00:00:00.000
565,1900-01-01 00:00:00.000
572,1900-01-01 00:00:00.000
575,1900-01-01 00:00:00.000
591,1900-01-01 00:00:00.000
598,1900-01-01 00:00:00.000
599,1900-01-01 00:00:00.000
600,1900-01-01 00:00:00.000
602,1900-01-01 00:00:00.000
605,1900-01-01 00:00:00.000
607,1900-01-01 00:00:00.000
608,1900-01-01 00:00:00.000
610,1900-01-01 00:00:00.000
613,1900-01-01 00:00:00.000
617,1900-01-01 00:00:00.000
623,1900-01-01 00:00:00.000
626,1900-01-01 00:00:00.000
634,1900-01-01 00:00:00.000
639,1900-01-01 00:00:00.000
640,1900-01-01 00:00:00.000
641,1900-01-01 00:00:00.000
644,1900-01-01 00:00:00.000
645,1900-01-01 00:00:00.000
646,1900-01-01 00:00:00.000
647,1900-01-01 00:00:00.000
649,1900-01-01 00:00:00.000
651,1900-01-01 00:00:00.000
652,1900-01-01 00:00:00.000
654,1900-01-01 00:00:00.000
655,1900-01-01 00:00:00.000
658,1900-01-01 00:00:00.000
663,1900-01-01 00:00:00.000
665,1900-01-01 00:00:00.000
667,1900-01-01 00:00:00.000
674,1900-01-01 00:00:00.000
678,1900-01-01 00:00:00.000
681,1900-01-01 00:00:00.000
684,1900-01-01 00:00:00.000
688,1900-01-01 00:00:00.000
690,1900-01-01 00:00:00.000
695,1900-01-01 00:00:00.000
697,1900-01-01 00:00:00.000
700,1900-01-01 00:00:00.000
703,1900-01-01 00:00:00.000
704,1900-01-01 00:00:00.000
709,1900-01-01 00:00:00.000
711,1900-01-01 00:00:00.000
716,1900-01-01 00:00:00.000
717,1900-01-01 00:00:00.000
721,1900-01-01 00:00:00.000
725,1900-01-01 00:00:00.000
729,1900-01-01 00:00:00.000
732,1900-01-01 00:00:00.000
735,1900-01-01 00:00:00.000
740,1900-01-01 00:00:00.000
741,1900-01-01 00:00:00.000
748,1900-01-01 00:00:00.000
760,1900-01-01 00:00:00.000
764,1900-01-01 00:00:00.000
767,1900-01-01 00:00:00.000
768,1900-01-01 00:00:00.000
771,1900-01-01 00:00:00.000
772,1900-01-01 00:00:00.000
774,1900-01-01 00:00:00.000
778,1900-01-01 00:00:00.000
780,1900-01-01 00:00:00.000
786,1900-01-01 00:00:00.000
790,1900-01-01 00:00:00.000
791,1900-01-01 00:00:00.000
792,1900-01-01 00:00:00.000
793,1900-01-01 00:00:00.000
799,1900-01-01 00:00:00.000
800,1900-01-01 00:00:00.000
802,1900-01-01 00:00:00.000
809,1900-01-01 00:00:00.000
812,1900-01-01 00:00:00.000
815,1900-01-01 00:00:00.000
818,1900-01-01 00:00:00.000
819,1900-01-01 00:00:00.000
820,1900-01-01 00:00:00.000
821,1900-01-01 00:00:00.000
826,1900-01-01 00:00:00.000
829,1900-01-01 00:00:00.000
837,1900-01-01 00:00:00.000
842,1900-01-01 00:00:00.000
844,1900-01-01 00:00:00.000
845,1900-01-01 00:00:00.000
847,1900-01-01 00:00:00.000
848,1900-01-01 00:00:00.000
849,1900-01-01 00:00:00.000
850,1900-01-01 00:00:00.000
851,1900-01-01 00:00:00.000
852,1900-01-01 00:00:00.000
854,1900-01-01 00:00:00.000
857,1900-01-01 00:00:00.000
858,1900-01-01 00:00:00.000
859,1900-01-01 00:00:00.000
868,1900-01-01 00:00:00.000
870,1900-01-01 00:00:00.000
873,1900-01-01 00:00:00.000
874,1900-01-01 00:00:00.000
875,1900-01-01 00:00:00.000
878,1900-01-01 00:00:00.000
880,1900-01-01 00:00:00.000
885,1900-01-01 00:00:00.000
888,1900-01-01 00:00:00.000
892,1900-01-01 00:00:00.000
895,1900-01-01 00:00:00.000
899,1900-01-01 00:00:00.000
900,1900-01-01 00:00:00.000
907,1900-01-01 00:00:00.000
909,1900-01-01 00:00:00.000
912,1900-01-01 00:00:00.000
913,1900-01-01 00:00:00.000
922,1900-01-01 00:00:00.000
925,1900-01-01 00:00:00.000
926,1900-01-01 00:00:00.000
927,1900-01-01 00:00:00.000
929,1900-01-01 00:00:00.000
931,1900-01-01 00:00:00.000
935,1900-01-01 00:00:00.000
941,1900-01-01 00:00:00.000
942,1900-01-01 00:00:00.000
944,1900-01-01 00:00:00.000
955,1900-01-01 00:00:00.000
961,1900-01-01 00:00:00.000
963,1900-01-01 00:00:00.000
964,1900-01-01 00:00:00.000
968,1900-01-01 00:00:00.000
969,1900-01-01 00:00:00.000
976,1900-01-01 00:00:00.000
980,1900-01-01 00:00:00.000
981,1900-01-01 00:00:00.000
984,1900-01-01 00:00:00.000
986,1900-01-01 00:00:00.000
