"user_id","_op","_ts_ms","load_ts"
3,c,0,1970-01-01 01:00:00.000 +0100
5,c,0,1970-01-01 01:00:00.000 +0100
6,c,0,1970-01-01 01:00:00.000 +0100
13,c,0,1970-01-01 01:00:00.000 +0100
15,c,0,1970-01-01 01:00:00.000 +0100
18,c,0,1970-01-01 01:00:00.000 +0100
19,c,0,1970-01-01 01:00:00.000 +0100
27,c,0,1970-01-01 01:00:00.000 +0100
29,c,0,1970-01-01 01:00:00.000 +0100
31,c,0,1970-01-01 01:00:00.000 +0100
36,c,0,1970-01-01 01:00:00.000 +0100
40,c,0,1970-01-01 01:00:00.000 +0100
42,c,0,1970-01-01 01:00:00.000 +0100
43,c,0,1970-01-01 01:00:00.000 +0100
47,c,0,1970-01-01 01:00:00.000 +0100
48,c,0,1970-01-01 01:00:00.000 +0100
50,c,0,1970-01-01 01:00:00.000 +0100
51,c,0,1970-01-01 01:00:00.000 +0100
53,c,0,1970-01-01 01:00:00.000 +0100
54,c,0,1970-01-01 01:00:00.000 +0100
56,c,0,1970-01-01 01:00:00.000 +0100
57,c,0,1970-01-01 01:00:00.000 +0100
63,c,0,1970-01-01 01:00:00.000 +0100
64,c,0,1970-01-01 01:00:00.000 +0100
67,c,0,1970-01-01 01:00:00.000 +0100
69,c,0,1970-01-01 01:00:00.000 +0100
71,c,0,1970-01-01 01:00:00.000 +0100
75,c,0,1970-01-01 01:00:00.000 +0100
76,c,0,1970-01-01 01:00:00.000 +0100
80,c,0,1970-01-01 01:00:00.000 +0100
88,c,0,1970-01-01 01:00:00.000 +0100
89,c,0,1970-01-01 01:00:00.000 +0100
90,c,0,1970-01-01 01:00:00.000 +0100
103,c,0,1970-01-01 01:00:00.000 +0100
104,c,0,1970-01-01 01:00:00.000 +0100
106,c,0,1970-01-01 01:00:00.000 +0100
112,c,0,1970-01-01 01:00:00.000 +0100
114,c,0,1970-01-01 01:00:00.000 +0100
116,c,0,1970-01-01 01:00:00.000 +0100
122,c,0,1970-01-01 01:00:00.000 +0100
124,c,0,1970-01-01 01:00:00.000 +0100
132,c,0,1970-01-01 01:00:00.000 +0100
133,c,0,1970-01-01 01:00:00.000 +0100
135,c,0,1970-01-01 01:00:00.000 +0100
136,c,0,1970-01-01 01:00:00.000 +0100
140,c,0,1970-01-01 01:00:00.000 +0100
141,c,0,1970-01-01 01:00:00.000 +0100
143,c,0,1970-01-01 01:00:00.000 +0100
144,c,0,1970-01-01 01:00:00.000 +0100
146,c,0,1970-01-01 01:00:00.000 +0100
151,c,0,1970-01-01 01:00:00.000 +0100
152,c,0,1970-01-01 01:00:00.000 +0100
153,c,0,1970-01-01 01:00:00.000 +0100
156,c,0,1970-01-01 01:00:00.000 +0100
157,c,0,1970-01-01 01:00:00.000 +0100
160,c,0,1970-01-01 01:00:00.000 +0100
162,c,0,1970-01-01 01:00:00.000 +0100
163,c,0,1970-01-01 01:00:00.000 +0100
171,c,0,1970-01-01 01:00:00.000 +0100
172,c,0,1970-01-01 01:00:00.000 +0100
175,c,0,1970-01-01 01:00:00.000 +0100
177,c,0,1970-01-01 01:00:00.000 +0100
186,c,0,1970-01-01 01:00:00.000 +0100
188,c,0,1970-01-01 01:00:00.000 +0100
191,c,0,1970-01-01 01:00:00.000 +0100
195,c,0,1970-01-01 01:00:00.000 +0100
197,c,0,1970-01-01 01:00:00.000 +0100
201,c,0,1970-01-01 01:00:00.000 +0100
204,c,0,1970-01-01 01:00:00.000 +0100
210,c,0,1970-01-01 01:00:00.000 +0100
211,c,0,1970-01-01 01:00:00.000 +0100
221,c,0,1970-01-01 01:00:00.000 +0100
222,c,0,1970-01-01 01:00:00.000 +0100
223,c,0,1970-01-01 01:00:00.000 +0100
224,c,0,1970-01-01 01:00:00.000 +0100
228,c,0,1970-01-01 01:00:00.000 +0100
231,c,0,1970-01-01 01:00:00.000 +0100
232,c,0,1970-01-01 01:00:00.000 +0100
233,c,0,1970-01-01 01:00:00.000 +0100
234,c,0,1970-01-01 01:00:00.000 +0100
236,c,0,1970-01-01 01:00:00.000 +0100
238,c,0,1970-01-01 01:00:00.000 +0100
248,c,0,1970-01-01 01:00:00.000 +0100
249,c,0,1970-01-01 01:00:00.000 +0100
254,c,0,1970-01-01 01:00:00.000 +0100
255,c,0,1970-01-01 01:00:00.000 +0100
257,c,0,1970-01-01 01:00:00.000 +0100
258,c,0,1970-01-01 01:00:00.000 +0100
261,c,0,1970-01-01 01:00:00.000 +0100
262,c,0,1970-01-01 01:00:00.000 +0100
263,c,0,1970-01-01 01:00:00.000 +0100
278,c,0,1970-01-01 01:00:00.000 +0100
281,c,0,1970-01-01 01:00:00.000 +0100
286,c,0,1970-01-01 01:00:00.000 +0100
290,c,0,1970-01-01 01:00:00.000 +0100
291,c,0,1970-01-01 01:00:00.000 +0100
295,c,0,1970-01-01 01:00:00.000 +0100
296,c,0,1970-01-01 01:00:00.000 +0100
298,c,0,1970-01-01 01:00:00.000 +0100
301,c,0,1970-01-01 01:00:00.000 +0100
303,c,0,1970-01-01 01:00:00.000 +0100
304,c,0,1970-01-01 01:00:00.000 +0100
307,c,0,1970-01-01 01:00:00.000 +0100
309,c,0,1970-01-01 01:00:00.000 +0100
310,c,0,1970-01-01 01:00:00.000 +0100
313,c,0,1970-01-01 01:00:00.000 +0100
315,c,0,1970-01-01 01:00:00.000 +0100
316,c,0,1970-01-01 01:00:00.000 +0100
318,c,0,1970-01-01 01:00:00.000 +0100
319,c,0,1970-01-01 01:00:00.000 +0100
320,c,0,1970-01-01 01:00:00.000 +0100
321,c,0,1970-01-01 01:00:00.000 +0100
323,c,0,1970-01-01 01:00:00.000 +0100
326,c,0,1970-01-01 01:00:00.000 +0100
328,c,0,1970-01-01 01:00:00.000 +0100
332,c,0,1970-01-01 01:00:00.000 +0100
336,c,0,1970-01-01 01:00:00.000 +0100
339,c,0,1970-01-01 01:00:00.000 +0100
340,c,0,1970-01-01 01:00:00.000 +0100
347,c,0,1970-01-01 01:00:00.000 +0100
350,c,0,1970-01-01 01:00:00.000 +0100
357,c,0,1970-01-01 01:00:00.000 +0100
360,c,0,1970-01-01 01:00:00.000 +0100
365,c,0,1970-01-01 01:00:00.000 +0100
367,c,0,1970-01-01 01:00:00.000 +0100
371,c,0,1970-01-01 01:00:00.000 +0100
387,c,0,1970-01-01 01:00:00.000 +0100
391,c,0,1970-01-01 01:00:00.000 +0100
397,c,0,1970-01-01 01:00:00.000 +0100
398,c,0,1970-01-01 01:00:00.000 +0100
399,c,0,1970-01-01 01:00:00.000 +0100
409,c,0,1970-01-01 01:00:00.000 +0100
410,c,0,1970-01-01 01:00:00.000 +0100
413,c,0,1970-01-01 01:00:00.000 +0100
419,c,0,1970-01-01 01:00:00.000 +0100
423,c,0,1970-01-01 01:00:00.000 +0100
430,c,0,1970-01-01 01:00:00.000 +0100
431,c,0,1970-01-01 01:00:00.000 +0100
432,c,0,1970-01-01 01:00:00.000 +0100
434,c,0,1970-01-01 01:00:00.000 +0100
435,c,0,1970-01-01 01:00:00.000 +0100
436,c,0,1970-01-01 01:00:00.000 +0100
438,c,0,1970-01-01 01:00:00.000 +0100
440,c,0,1970-01-01 01:00:00.000 +0100
444,c,0,1970-01-01 01:00:00.000 +0100
452,c,0,1970-01-01 01:00:00.000 +0100
454,c,0,1970-01-01 01:00:00.000 +0100
455,c,0,1970-01-01 01:00:00.000 +0100
459,c,0,1970-01-01 01:00:00.000 +0100
462,c,0,1970-01-01 01:00:00.000 +0100
464,c,0,1970-01-01 01:00:00.000 +0100
467,c,0,1970-01-01 01:00:00.000 +0100
470,c,0,1970-01-01 01:00:00.000 +0100
471,c,0,1970-01-01 01:00:00.000 +0100
473,c,0,1970-01-01 01:00:00.000 +0100
477,c,0,1970-01-01 01:00:00.000 +0100
480,c,0,1970-01-01 01:00:00.000 +0100
483,c,0,1970-01-01 01:00:00.000 +0100
485,c,0,1970-01-01 01:00:00.000 +0100
492,c,0,1970-01-01 01:00:00.000 +0100
496,c,0,1970-01-01 01:00:00.000 +0100
497,c,0,1970-01-01 01:00:00.000 +0100
499,c,0,1970-01-01 01:00:00.000 +0100
500,c,0,1970-01-01 01:00:00.000 +0100
507,c,0,1970-01-01 01:00:00.000 +0100
510,c,0,1970-01-01 01:00:00.000 +0100
514,c,0,1970-01-01 01:00:00.000 +0100
516,c,0,1970-01-01 01:00:00.000 +0100
